time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-28T20:12:08.320Z,35.9106667,-120.4548333,5.79,2.73,md,72,42,0.01663,0.05,nc,nc72931885,2017-11-29T03:09:05.476Z,"26km SSW of Coalinga, California",earthquake,0.12,0.15,0.18,70,reviewed,nc,nc
2017-11-28T20:11:18.750Z,33.873,-117.498,-0.56,0.89,ml,19,83,0.07083,0.22,ci,ci37819703,2017-11-28T21:36:22.287Z,"2km ESE of Home Gardens, CA",quarry blast,0.51,31.61,0.092,13,reviewed,ci,ci
2017-11-28T20:08:50.510Z,38.8079987,-122.8193359,2.4,0.97,md,16,74,0.007738,0.04,nc,nc72931880,2017-11-28T20:45:05.752Z,"6km WNW of The Geysers, California",earthquake,0.31,0.46,0.2,5,automatic,nc,nc
2017-11-28T19:36:35.650Z,33.5663333,-116.9038333,10.42,1,ml,35,43,0.07886,0.15,ci,ci37819679,2017-11-28T21:06:27.966Z,"14km NNW of Aguanga, CA",earthquake,0.19,0.55,0.098,19,reviewed,ci,ci
2017-11-28T18:57:19.150Z,46.3276667,-111.6176667,-2,1.22,md,8,141,0.335,0.12,mb,mb80271904,2017-11-28T22:30:05.030Z,"7km W of Townsend, Montana",quarry blast,0.5,31.61,0.193,6,reviewed,mb,mb
2017-11-28T18:46:51.558Z,60.5399,-147.4369,19.4,2.1,ml,,,,0.43,ak,ak17399145,2017-11-28T18:53:48.189Z,"72km ESE of Whittier, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-11-28T18:45:56.677Z,38.5277,-118.5709,0,0.1,ml,3,258.85,0.108,0.0556,nn,nn00613769,2017-11-28T18:59:44.740Z,"4km E of Hawthorne, Nevada",earthquake,,0,0.08,3,reviewed,nn,nn
2017-11-28T18:29:48.860Z,33.498,-116.564,10.87,0.56,ml,17,219,0.03209,0.11,ci,ci37819623,2017-11-28T19:08:28.921Z,"12km ESE of Anza, CA",earthquake,0.42,0.36,0.066,5,reviewed,ci,ci
2017-11-28T18:27:05.770Z,38.8371658,-122.8376694,1.54,1.23,md,21,86,0.002219,0.05,nc,nc72931870,2017-11-28T22:02:03.355Z,"9km NW of The Geysers, California",earthquake,0.23,0.33,0.09,5,automatic,nc,nc
2017-11-28T18:23:31.599Z,63.5323,-147.2955,0,2,ml,,,,0.55,ak,ak17398838,2017-11-28T18:38:14.765Z,"84km ENE of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-11-28T18:05:18.710Z,37.1241,-98.3149,5,2.4,mb_lg,,121,0.175,0.27,us,us2000bvin,2017-11-28T21:20:31.040Z,"19km NE of Kiowa, Kansas",earthquake,1.5,1.9,0.154,11,reviewed,us,us
2017-11-28T18:03:45.240Z,33.4791667,-116.4215,13.8,0.9,ml,37,104,0.04426,0.14,ci,ci37819567,2017-11-28T18:14:35.559Z,"23km SSW of La Quinta, CA",earthquake,0.23,0.38,0.139,19,reviewed,ci,ci
2017-11-28T17:52:43.130Z,38.8201675,-122.8430023,1.81,1.22,md,21,50,0.006888,0.04,nc,nc72931860,2017-11-28T21:33:04.253Z,"8km WNW of The Geysers, California",earthquake,0.24,0.36,0.09,5,automatic,nc,nc
2017-11-28T17:49:31.090Z,44.8091667,-110.7981667,6.21,1.31,md,14,195,0.04269,0.13,uu,uu60259962,2017-11-28T21:18:34.650Z,"29km NE of West Yellowstone, Montana",earthquake,0.6,0.89,0.312,9,reviewed,uu,uu
